PERIOD,NET_GEN_MWh,GROSS_GEN_MWh
2015-01,11223,12293
2015-02,16460,17401
2015-03,26881,27891
2015-04,41954,42844
2015-05,128868,129681
2015-06,111000,112020
2015-07,137393,138413
2015-08,56090,56934
2015-09,1405,2382
2015-10,8740,9765
2015-11,13611,14748
2015-12,18602,19858
2016-01,9129,10423
2016-02,12276,13518
2016-03,24576,25791
2016-04,40962,42075
2016-05,193164,194241
2016-06,253010,253952
2016-07,414761,415850
2016-08,310142,311139
2016-09,156412,157421
2016-10,108903,109894
2016-11,105563,106624
2016-12,74529,75911
2017-01,296666,298040
2017-02,67433,68089
2017-03,268496,269448
2017-04,223121,224160
2017-05,330203,331233
2017-06,254926,255869
2017-07,221161,222128
2017-08,289574,290621
2017-09,224013,224791
2017-10,58421,59183
2017-11,59337,60278
2017-12,82136,83272
2018-01,57751,58938
2018-02,43408,44541
2018-03,38098,44351
2018-04,164264,165298
2018-05,121167,122252
2018-06,144295,145344
2018-07,216298,217358
2018-08,235034,236142
2018-09,166338,168223
2018-10,41844,41901
2018-11,27983,29038
2018-12,34907,36134
2019-01,34136,35409
2019-02,25206,26413
2019-03,256869,258128
2019-04,352267,353343
2019-05,375208,376377
2019-06,264583,265676
2019-07,326595,327649
2019-08,355849,356709
2019-09,292390,293198
2019-10,159450,160559
2019-11,124093,125155
2019-12,96197,98067
2020-01,74756,75277
2020-02,51100,53130
2020-03,52282,53650
2020-04,58407,59855
2020-05,149630,150912
2020-06,187100,188381
2020-07,199059,200117
2020-08,131931,133056
2020-09,80502,81388
2020-10,89761,90794
2020-11,56139,57121
2020-12,43469,44273